Description,HS Code,Bottles,Cases,Unit Price USD,Case Price USD,Total Price USD
"Domaine Lafouge Meursault Clos de Rougeot 2022 0.75L 13",22042113,120,20,$133.39,$800.34,"$16,006.80"
"Domaine de Montille Bourgogne Blanc 2022 0.75L 13",22042113,180,60,$34.03,$102.09,"$6,125.40"
"Valentin Leflaive Champagne Grand Cru Verzenay 20 3.0 0.75L 12.5",22041011,30,5,$69.42,$416.52,"$2,082.60"
,,,,,,"",
TOTALS,,,,,,"",
Total Bottles,,,8400,,,
Total Liters,,,6345,,,
Total Cases,,,1617,,,
Total Gross Weight (kg),,,12732,,,
Total Net Weight (kg),,,6366,,,
Invoice Total USD,,,,,"","$155,332.50"
,,,,,,"",
SHIPPING DETAILS,,,,,,"",
Supplier,"Vinlock SAS, 6 rue Jean François Champollion, 21200 Beaune, France",,,,,"",
Consignee,"Craft & Culture FZE, PO Box 50365, Fujairah Free Zone, UAE",,,,,"",
Delivery Address,"Warehouse 1.2 (Duty Free), RAK Port, Ras Al Khaimah, UAE",,,,,"",
Shipping Order,TO/06 to TO/14,,,,,"",
Invoice Date,19/11/2025,,,,,"",
Incoterm,DAP,,,,,"",
,,,,,,"",
PAYMENT DETAILS,,,,,,"",
Beneficiary,CRURATED LIMITED,,,,,"",
Bank,REVOLUT,,,,,"",
IBAN,GB20 REVO 0099 6998 2959 11,,,,,"",
BIC,REVOGB21,,,,,"",
Bank Address,"7 Westferry Circus, E14 4HD, London, UK",,,,,"",
